"","rules","support","confidence","lift","count"
"187","{(5),5,wood,alterations,family} => {frame}",0.338298952745336,1,1.71602477827242,67288
"188","{alterations,family,frame} => {(5),5,wood}",0.338298952745336,0.985644811624773,1.75156566550202,67288
"189","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1,family} => {frame}",0.128465920231673,1,1.71602477827242,25552
"190","{dwelling,1,0,,5,wood,dwelling,1,1,family,frame} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"191","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1,frame} => {family}",0.128465920231673,1,2.85449196326062,25552
"192","{(5),5,wood,dwelling,1,0,,5,wood,family,frame} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"193","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1,family} => {alterations}",0.128465920231673,1,1.02787496059574,25552
"194","{alterations,dwelling,1,0,,5,wood,dwelling,1,1,family} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"195","{(5),5,wood,alterations,dwelling,1,0,,5,wood,dwelling,1,1} => {family}",0.128465920231673,1,2.85449196326062,25552
"196","{(5),5,wood,alterations,dwelling,1,0,,5,wood,family} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"197","{dwelling,1,0,,5,wood,dwelling,1,1,family,frame} => {alterations}",0.128616749035953,1,1.02787496059574,25582
"198","{alterations,dwelling,1,0,,5,wood,dwelling,1,1,family} => {frame}",0.128616749035953,1,1.71602477827242,25582
"199","{alterations,dwelling,1,0,,5,wood,dwelling,1,1,frame} => {family}",0.128616749035953,1,2.85449196326062,25582
"200","{alterations,dwelling,1,0,,5,wood,family,frame} => {dwelling,1,1}",0.128616749035953,0.996727187719162,4.41477830055068,25582
"201","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1,frame} => {alterations}",0.128465920231673,1,1.02787496059574,25552
"202","{(5),5,wood,alterations,dwelling,1,0,,5,wood,dwelling,1,1} => {frame}",0.128465920231673,1,1.71602477827242,25552
"203","{alterations,dwelling,1,0,,5,wood,dwelling,1,1,frame} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"204","{(5),5,wood,alterations,dwelling,1,0,,5,wood,frame} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
"205","{(5),5,wood,dwelling,1,0,,5,wood,family,frame} => {alterations}",0.128888240883656,1,1.02787496059574,25636
"206","{(5),5,wood,alterations,dwelling,1,0,,5,wood,family} => {frame}",0.128888240883656,1,1.71602477827242,25636
"207","{alterations,dwelling,1,0,,5,wood,family,frame} => {(5),5,wood}",0.128888240883656,0.998831138471129,1.77499876948203,25636
"208","{(5),5,wood,alterations,dwelling,1,0,,5,wood,frame} => {family}",0.128888240883656,1,2.85449196326062,25636
"209","{(5),5,wood,dwelling,1,1,family,frame} => {alterations}",0.224639393467102,1,1.02787496059574,44681
"210","{(5),5,wood,alterations,dwelling,1,1,family} => {frame}",0.224639393467102,1,1.71602477827242,44681
"211","{alterations,dwelling,1,1,family,frame} => {(5),5,wood}",0.224639393467102,0.998502726378833,1.77441515625928,44681
"212","{(5),5,wood,alterations,dwelling,1,1,frame} => {family}",0.224639393467102,1,2.85449196326062,44681
"213","{(5),5,wood,family,frame,of} => {alterations}",0.10772695964324,1,1.02787496059574,21427
"214","{(5),5,wood,alterations,family,of} => {frame}",0.10772695964324,1,1.71602477827242,21427
"215","{alterations,family,frame,of} => {(5),5,wood}",0.10772695964324,0.978133844608783,1.7382181068432,21427
"216","{(5),5,wood,family,frame,to} => {alterations}",0.11626386996546,1,1.02787496059574,23125
"217","{(5),5,wood,alterations,family,to} => {frame}",0.11626386996546,1,1.71602477827242,23125
"218","{alterations,family,frame,to} => {(5),5,wood}",0.11626386996546,0.982120105325745,1.74530199479474,23125
"219","{(5),5,wood,dwelling,1,0,,5,wood,dwelling,1,1,family,frame} => {alterations}",0.128465920231673,1,1.02787496059574,25552
"220","{(5),5,wood,alterations,dwelling,1,0,,5,wood,dwelling,1,1,family} => {frame}",0.128465920231673,1,1.71602477827242,25552
"221","{alterations,dwelling,1,0,,5,wood,dwelling,1,1,family,frame} => {(5),5,wood}",0.128465920231673,0.998827300445626,1.77499194901931,25552
"222","{(5),5,wood,alterations,dwelling,1,0,,5,wood,dwelling,1,1,frame} => {family}",0.128465920231673,1,2.85449196326062,25552
"223","{(5),5,wood,alterations,dwelling,1,0,,5,wood,family,frame} => {dwelling,1,1}",0.128465920231673,0.996723357778124,4.41476133669057,25552
